comm_id,prospect_id,campaign_id,comm_date,communication_type,opened_flag,clicked_flag,replied_flag
CM0043,PR0199,C001,2024-12-01,Call,1,0,0
CM0044,PR0094,C007,2024-07-23,SMS,1,0,0
CM0045,PR0047,C008,2024-12-20,Call,1,1,0
CM0046,PR0021,C007,2024-02-10,Call,1,1,1
CM0047,PR0139,C005,2024-06-13,Email,0,0,0
CM0048,PR0083,C005,2024-06-05,Call,0,0,0
CM0049,PR0113,C006,2024-08-16,Email,1,0,0
CM0050,PR0163,C001,2024-02-08,SMS,1,1,0
CM0051,PR0191,C003,2024-01-16,Email,1,0,0
CM0052,PR0017,C004,2024-11-26,Call,1,0,0
CM0053,PR0145,C001,2024-11-05,Email,1,0,0
CM0054,PR0195,C002,2024-10-20,Email,1,1,0
CM0055,PR0166,C005,2024-05-07,Email,1,0,0
CM0056,PR0188,C003,2024-09-12,SMS,0,0,0
CM0057,PR0198,C005,2024-12-26,Call,1,1,0
CM0058,PR0156,C005,2024-12-21,Call,0,0,0
CM0059,PR0031,C003,2024-02-07,Call,0,0,0
CM0060,PR0182,C008,2024-02-14,SMS,0,0,0
CM0061,PR0140,C005,2024-06-02,Email,1,1,1
CM0062,PR0092,C004,2024-03-03,Email,0,0,0
CM0063,PR0060,C008,2024-01-14,Call,0,0,0
CM0064,PR0141,C003,2024-11-09,Email,1,0,0
CM0065,PR0079,C007,2024-09-02,SMS,0,0,0
CM0066,PR0018,C003,2024-06-11,SMS,1,1,1
CM0067,PR0115,C008,2024-12-14,SMS,0,0,0
CM0068,PR0199,C003,2024-03-07,Call,1,0,0
CM0069,PR0031,C003,2024-06-04,Email,0,0,0
CM0070,PR0082,C004,2024-06-26,SMS,0,0,0
CM0071,PR0162,C005,2024-03-05,SMS,1,1,0
CM0072,PR0164,C003,2024-10-30,SMS,1,1,0
CM0073,PR0043,C006,2024-10-15,Email,0,0,0
CM0074,PR0020,C001,2024-11-24,SMS,0,0,0
CM0075,PR0106,C001,2024-09-11,SMS,1,1,1
CM0076,PR0062,C007,2024-06-01,Call,1,1,0
CM0077,PR0176,C001,2024-03-21,Call,0,0,0
CM0078,PR0052,C006,2024-11-06,Email,1,0,0
CM0079,PR0088,C007,2024-03-07,Call,1,1,0
CM0080,PR0081,C004,2024-08-26,Email,0,0,0
CM0081,PR0036,C002,2024-01-26,Call,1,0,0
CM0082,PR0040,C006,2024-10-22,SMS,1,1,0
CM0083,PR0040,C008,2024-09-20,Call,1,0,0
CM0084,PR0023,C007,2024-09-15,Call,1,1,0
CM0085,PR0055,C006,2024-01-25,Email,0,0,0
CM0086,PR0167,C008,2024-05-26,SMS,1,0,0
CM0087,PR0027,C007,2024-03-09,Call,0,0,0
CM0088,PR0102,C001,2024-10-18,SMS,1,1,0
CM0089,PR0092,C005,2024-02-07,Call,0,0,0
CM0090,PR0159,C002,2024-03-06,Email,1,1,0
CM0091,PR0086,C006,2024-03-14,Email,1,0,0
CM0092,PR0035,C006,2024-08-30,SMS,1,1,0
CM0093,PR0131,C003,2024-06-16,SMS,1,0,0
CM0094,PR0157,C005,2024-10-30,Call,1,0,0
CM0095,PR0004,C006,2024-06-18,SMS,1,1,0
CM0096,PR0106,C005,2024-12-18,SMS,0,0,0
CM0097,PR0152,C008,2024-05-15,SMS,0,0,0
CM0098,PR0184,C001,2024-10-25,Call,0,0,0
CM0099,PR0134,C007,2024-03-16,SMS,0,0,0
CM0100,PR0008,C002,2024-04-07,Email,0,0,0
CM0101,PR0038,C007,2024-12-19,Email,1,0,0
CM0102,PR0120,C001,2024-12-27,Email,1,1,1
CM0103,PR0143,C006,2024-12-05,Call,0,0,0
CM0104,PR0044,C008,2024-09-29,Call,1,0,0
CM0105,PR0174,C005,2024-11-08,Call,1,1,1
CM0106,PR0063,C005,2024-10-12,Call,0,0,0
CM0107,PR0076,C005,2024-12-26,Email,0,0,0
CM0108,PR0089,C005,2024-05-27,Email,1,0,0
CM0109,PR0088,C003,2024-05-28,Email,1,1,0
CM0110,PR0113,C005,2024-09-02,Email,1,1,0
CM0111,PR0137,C005,2024-10-14,SMS,0,0,0
CM0112,PR0157,C004,2024-05-04,Email,1,0,0
CM0113,PR0163,C004,2024-01-27,Email,0,0,0
CM0114,PR0120,C002,2024-12-14,Email,1,0,0
CM0115,PR0140,C003,2024-07-27,SMS,0,0,0
CM0116,PR0051,C005,2024-06-13,Call,1,0,0
CM0117,PR0196,C002,2024-11-29,SMS,0,0,0
CM0118,PR0136,C001,2024-03-30,Call,0,0,0
CM0119,PR0009,C007,2024-09-10,Email,0,0,0
CM0120,PR0145,C002,2024-06-20,Call,1,1,0
CM0121,PR0126,C003,2024-09-15,Call,1,1,1
CM0122,PR0028,C006,2024-03-24,SMS,1,0,0
CM0123,PR0003,C006,2024-05-31,SMS,1,1,1
CM0124,PR0044,C007,2024-08-06,SMS,0,0,0
CM0125,PR0171,C002,2024-04-04,Email,1,0,0
CM0126,PR0063,C001,2024-05-13,Call,1,0,0
CM0127,PR0114,C005,2024-06-17,Call,0,0,0
CM0128,PR0066,C006,2024-12-20,Email,0,0,0
CM0129,PR0170,C002,2024-08-26,Call,0,0,0
CM0130,PR0103,C005,2024-12-19,Email,0,0,0
CM0131,PR0056,C004,2024-03-09,Call,1,0,0
CM0132,PR0116,C006,2024-07-31,SMS,0,0,0
CM0133,PR0055,C004,2024-12-14,SMS,1,1,1
CM0134,PR0134,C008,2024-09-27,SMS,0,0,0
CM0135,PR0144,C002,2024-02-01,SMS,1,0,0
CM0136,PR0146,C003,2024-03-25,Call,0,0,0
CM0137,PR0052,C008,2024-02-16,SMS,1,0,0
CM0138,PR0131,C007,2024-08-21,SMS,1,1,0
CM0139,PR0143,C008,2024-12-10,Call,0,0,0
CM0140,PR0101,C005,2024-01-02,SMS,0,0,0
CM0141,PR0148,C002,2024-01-24,Call,0,0,0
CM0142,PR0015,C002,2024-08-29,Email,1,1,1
CM0143,PR0196,C003,2024-11-24,SMS,1,0,0
CM0144,PR0097,C008,2024-07-12,Call,1,0,0
CM0145,PR0174,C003,2024-11-30,Call,0,0,0
CM0146,PR0045,C007,2024-09-27,Email,0,0,0
CM0147,PR0000,C001,2024-06-01,Call,0,0,0
CM0148,PR0063,C008,2024-06-26,Email,1,1,1
CM0149,PR0185,C002,2024-01-17,SMS,1,0,0
CM0150,PR0004,C004,2024-04-15,Email,1,1,1
CM0151,PR0152,C001,2024-08-16,SMS,0,0,0
CM0152,PR0062,C001,2024-07-24,Call,0,0,0
CM0153,PR0138,C004,2024-01-29,Email,0,0,0
CM0154,PR0187,C006,2024-10-22,SMS,1,0,0
CM0155,PR0036,C004,2024-07-30,Call,1,0,0
CM0156,PR0151,C003,2024-11-16,SMS,1,0,0
CM0157,PR0088,C007,2024-09-25,Call,1,1,0
CM0158,PR0076,C007,2024-04-04,SMS,1,0,0
CM0159,PR0057,C005,2024-12-28,Email,1,0,0
CM0160,PR0106,C003,2024-07-17,Email,1,1,1
CM0161,PR0165,C002,2024-08-18,Call,1,0,0
CM0162,PR0137,C004,2024-01-27,Call,0,0,0
CM0163,PR0018,C004,2024-10-27,SMS,1,1,1
CM0164,PR0122,C004,2024-06-19,Call,0,0,0
CM0165,PR0054,C004,2024-03-01,SMS,0,0,0
CM0166,PR0180,C004,2024-07-22,Email,1,1,1
CM0167,PR0136,C006,2024-06-06,Call,1,1,0
CM0168,PR0025,C008,2024-06-12,Email,1,1,0
CM0169,PR0011,C004,2024-03-15,Email,1,0,0
CM0170,PR0184,C007,2024-05-31,Email,1,1,1
CM0171,PR0084,C004,2024-07-13,SMS,0,0,0
CM0172,PR0127,C006,2024-05-11,Call,0,0,0
CM0173,PR0187,C006,2024-03-27,Email,1,0,0
CM0174,PR0138,C001,2024-09-25,Email,1,0,0
CM0175,PR0171,C001,2024-01-04,Call,0,0,0
CM0176,PR0161,C004,2024-02-04,SMS,0,0,0
CM0177,PR0002,C004,2024-09-15,Call,0,0,0
CM0178,PR0163,C008,2024-12-03,Call,1,0,0
CM0179,PR0001,C007,2024-01-07,Email,0,0,0
CM0180,PR0128,C007,2024-04-01,Email,1,1,0
CM0181,PR0134,C003,2024-05-03,Email,0,0,0
CM0182,PR0101,C002,2024-07-10,Call,1,1,0
CM0183,PR0057,C005,2024-12-16,Email,1,1,1
CM0184,PR0023,C007,2024-07-13,Call,0,0,0
CM0185,PR0002,C003,2024-02-12,Call,1,0,0
CM0186,PR0024,C001,2024-04-27,Email,1,1,0
CM0187,PR0019,C005,2024-10-05,SMS,1,0,0
CM0188,PR0045,C006,2024-01-09,Email,0,0,0
CM0189,PR0192,C007,2024-02-09,Call,0,0,0
CM0190,PR0144,C004,2024-10-17,Call,0,0,0
CM0191,PR0189,C003,2024-12-18,SMS,1,0,0
CM0192,PR0128,C006,2024-01-28,Email,0,0,0
CM0193,PR0019,C006,2024-11-05,SMS,1,0,0
CM0194,PR0162,C005,2024-08-18,Call,1,1,0
CM0195,PR0091,C007,2024-08-09,Email,0,0,0
CM0196,PR0158,C005,2024-05-06,SMS,1,0,0
CM0197,PR0021,C005,2024-03-19,Call,0,0,0
CM0198,PR0189,C007,2024-06-11,Call,0,0,0
CM0199,PR0023,C001,2024-06-06,Call,0,0,0
CM0200,PR0022,C003,2024-08-08,Call,1,1,0
CM0201,PR0022,C006,2024-10-10,Email,1,0,0
CM0202,PR0105,C007,2024-02-13,SMS,1,1,0
CM0203,PR0146,C003,2024-12-16,Call,0,0,0
CM0204,PR0035,C005,2024-06-03,Call,0,0,0
CM0205,PR0042,C007,2024-05-21,Call,1,0,0
CM0206,PR0019,C006,2024-05-08,Email,1,0,0
CM0207,PR0027,C003,2024-06-04,Email,1,1,0
CM0208,PR0158,C007,2024-06-17,Call,1,0,0
CM0209,PR0166,C003,2024-06-02,Call,1,0,0
CM0210,PR0122,C006,2024-03-31,Call,0,0,0
CM0211,PR0177,C008,2024-10-21,Email,1,0,0
CM0212,PR0100,C006,2024-02-28,SMS,1,0,0
CM0213,PR0151,C003,2024-12-15,SMS,0,0,0
CM0214,PR0186,C008,2024-12-28,Email,0,0,0
CM0215,PR0017,C007,2024-12-10,Call,1,1,1
CM0216,PR0162,C005,2024-05-03,Call,0,0,0
CM0217,PR0183,C007,2024-07-12,Email,0,0,0
CM0218,PR0102,C007,2024-10-05,Email,1,1,0
CM0219,PR0152,C002,2024-02-25,Email,1,1,1
CM0220,PR0156,C001,2024-10-15,SMS,1,0,0
CM0221,PR0110,C002,2024-01-06,Email,1,1,0
CM0222,PR0191,C004,2024-08-16,Call,1,0,0
CM0223,PR0173,C003,2024-06-25,Email,1,0,0
CM0224,PR0106,C002,2024-02-29,SMS,1,0,0
CM0225,PR0089,C005,2024-06-24,Call,0,0,0
CM0226,PR0133,C008,2024-06-27,Call,0,0,0
CM0227,PR0112,C008,2024-06-12,Email,0,0,0
CM0228,PR0181,C002,2024-01-12,Call,1,0,0
CM0229,PR0173,C003,2024-05-04,SMS,0,0,0
CM0230,PR0141,C003,2024-06-18,SMS,0,0,0
CM0231,PR0103,C003,2024-04-05,SMS,1,1,0
CM0232,PR0188,C004,2024-08-18,SMS,1,0,0
CM0233,PR0180,C004,2024-04-15,Call,1,0,0
CM0234,PR0147,C002,2024-10-01,Email,0,0,0
CM0235,PR0117,C002,2024-05-14,SMS,1,0,0
CM0236,PR0152,C007,2024-11-08,Call,1,1,1
CM0237,PR0089,C006,2024-08-22,SMS,0,0,0
CM0238,PR0172,C005,2024-11-10,SMS,0,0,0
CM0239,PR0172,C003,2024-06-09,Email,0,0,0
CM0240,PR0078,C002,2024-04-03,Call,0,0,0
CM0241,PR0130,C007,2024-08-02,SMS,0,0,0
CM0242,PR0147,C007,2024-08-04,Email,0,0,0
CM0243,PR0165,C003,2024-10-11,Email,1,1,1
CM0244,PR0047,C006,2024-08-18,SMS,1,0,0
CM0245,PR0091,C001,2024-09-05,Email,0,0,0
CM0246,PR0098,C008,2024-07-28,SMS,0,0,0
CM0247,PR0113,C008,2024-03-26,Email,1,0,0
CM0248,PR0194,C004,2024-05-29,Email,0,0,0
CM0249,PR0073,C003,2024-08-22,SMS,1,0,0
CM0250,PR0029,C005,2024-10-05,Call,1,1,0
CM0251,PR0194,C008,2024-10-06,Email,0,0,0
CM0252,PR0167,C004,2024-06-01,Email,1,0,0
CM0253,PR0022,C008,2024-03-01,Email,1,0,0
CM0254,PR0188,C006,2024-12-29,SMS,0,0,0
CM0255,PR0035,C004,2024-04-15,Email,1,0,0
CM0256,PR0043,C006,2024-12-26,Call,1,1,1
CM0257,PR0131,C002,2024-03-10,Call,1,1,1
CM0258,PR0070,C003,2024-12-25,Email,0,0,0
CM0259,PR0037,C006,2024-05-06,SMS,0,0,0
CM0260,PR0147,C005,2024-11-17,Call,1,0,0
CM0261,PR0162,C002,2024-07-25,SMS,1,0,0
CM0262,PR0116,C008,2024-06-16,SMS,1,1,1
CM0263,PR0198,C002,2024-08-22,SMS,0,0,0
CM0264,PR0101,C004,2024-08-07,Email,1,1,1
CM0265,PR0072,C006,2024-10-07,SMS,1,0,0
CM0266,PR0144,C008,2024-06-24,SMS,0,0,0
CM0267,PR0011,C002,2024-11-16,Call,0,0,0
CM0268,PR0031,C003,2024-08-13,Call,0,0,0
CM0269,PR0109,C004,2024-12-18,Email,0,0,0
CM0270,PR0070,C002,2024-12-01,Call,1,0,0
CM0271,PR0170,C003,2024-01-27,Call,1,0,0
CM0272,PR0109,C002,2024-12-26,Email,1,1,1
CM0273,PR0054,C008,2024-02-09,Email,0,0,0
CM0274,PR0132,C008,2024-01-05,Email,0,0,0
CM0275,PR0108,C003,2024-09-01,Email,1,1,1
CM0276,PR0098,C002,2024-02-22,Email,0,0,0
CM0277,PR0076,C003,2024-07-14,Email,1,0,0
CM0278,PR0017,C001,2024-11-08,SMS,0,0,0
CM0279,PR0112,C006,2024-04-19,SMS,0,0,0
CM0280,PR0105,C008,2024-04-21,Email,0,0,0
CM0281,PR0035,C002,2024-10-28,SMS,0,0,0
CM0282,PR0109,C006,2024-03-12,Email,1,0,0
CM0283,PR0153,C005,2024-12-19,Email,1,1,0
CM0284,PR0155,C004,2024-07-19,Call,1,0,0
CM0285,PR0061,C008,2024-07-16,Email,0,0,0
CM0286,PR0127,C002,2024-09-27,Email,0,0,0
CM0287,PR0145,C007,2024-07-06,SMS,1,1,0
CM0288,PR0195,C008,2024-02-07,Email,0,0,0
CM0289,PR0003,C005,2024-04-20,Email,0,0,0
CM0290,PR0101,C005,2024-11-17,SMS,0,0,0
CM0291,PR0102,C002,2024-11-23,SMS,1,0,0
CM0292,PR0071,C002,2024-06-07,Email,0,0,0
CM0293,PR0039,C006,2024-07-19,SMS,0,0,0
CM0294,PR0079,C007,2024-05-02,Email,0,0,0
CM0295,PR0022,C007,2024-02-29,Call,0,0,0
CM0296,PR0079,C003,2024-03-02,Email,0,0,0
CM0297,PR0179,C001,2024-03-24,Call,0,0,0
CM0298,PR0184,C005,2024-03-26,Call,1,1,1
CM0299,PR0191,C005,2024-03-01,Email,0,0,0
CM0300,PR0016,C005,2024-12-30,SMS,1,1,0
CM0301,PR0127,C008,2024-09-18,Call,0,0,0
CM0302,PR0127,C003,2024-07-07,Email,0,0,0
CM0303,PR0172,C002,2024-04-26,SMS,1,1,1
CM0304,PR0011,C001,2024-05-05,Email,0,0,0
CM0305,PR0038,C003,2024-01-19,SMS,1,0,0
CM0306,PR0063,C007,2024-06-12,Call,1,0,0
CM0307,PR0146,C006,2024-03-02,SMS,0,0,0
CM0308,PR0045,C004,2024-09-21,Email,0,0,0
CM0309,PR0119,C005,2024-06-08,Call,1,0,0
CM0310,PR0141,C008,2024-01-05,Call,0,0,0
CM0311,PR0074,C005,2024-11-14,Email,0,0,0
CM0312,PR0126,C004,2024-10-06,Email,1,0,0
CM0313,PR0001,C007,2024-01-13,Email,0,0,0
CM0314,PR0002,C006,2024-01-01,SMS,1,1,1
CM0315,PR0026,C004,2024-09-28,Email,1,1,1
CM0316,PR0015,C003,2024-12-30,Call,1,0,0
CM0317,PR0011,C004,2024-09-23,Call,0,0,0
CM0318,PR0191,C002,2024-10-24,Email,1,0,0
CM0319,PR0163,C007,2024-02-08,SMS,0,0,0
CM0320,PR0111,C003,2024-05-01,Call,0,0,0
CM0321,PR0100,C006,2024-06-11,Call,1,1,1
CM0322,PR0051,C003,2024-10-26,Email,1,0,0
CM0323,PR0027,C003,2024-08-18,Call,0,0,0
CM0324,PR0137,C006,2024-04-16,Call,1,0,0
CM0325,PR0030,C002,2024-03-21,SMS,1,0,0
CM0326,PR0010,C004,2024-06-16,Email,1,1,1
CM0327,PR0182,C004,2024-07-01,Call,0,0,0
CM0328,PR0173,C005,2024-05-13,Email,0,0,0
CM0329,PR0103,C008,2024-10-11,SMS,0,0,0
CM0330,PR0024,C008,2024-02-22,Email,0,0,0
CM0331,PR0003,C001,2024-04-23,Email,0,0,0
CM0332,PR0102,C006,2024-12-17,SMS,0,0,0
CM0333,PR0149,C005,2024-02-08,Email,0,0,0
CM0334,PR0050,C008,2024-03-06,Email,0,0,0
CM0335,PR0118,C001,2024-03-27,SMS,1,0,0
CM0336,PR0007,C007,2024-12-15,Call,1,1,0
CM0337,PR0090,C004,2024-04-05,Call,0,0,0
CM0338,PR0038,C001,2024-11-10,SMS,1,0,0
CM0339,PR0165,C005,2024-09-12,Call,0,0,0
CM0340,PR0071,C007,2024-03-11,Call,1,0,0
CM0341,PR0164,C004,2024-11-18,SMS,0,0,0
CM0342,PR0097,C006,2024-09-02,SMS,0,0,0
CM0343,PR0144,C006,2024-07-17,Call,1,0,0
CM0344,PR0006,C006,2024-11-01,Email,0,0,0
CM0345,PR0199,C005,2024-01-30,Call,0,0,0
CM0346,PR0040,C002,2024-05-06,SMS,1,1,1
CM0347,PR0068,C001,2024-04-22,SMS,0,0,0
CM0348,PR0044,C003,2024-05-01,SMS,1,0,0
CM0349,PR0151,C001,2024-12-26,SMS,1,1,1
CM0350,PR0144,C004,2024-09-09,SMS,1,1,1
CM0351,PR0009,C002,2024-01-29,Email,1,0,0
CM0352,PR0005,C008,2024-01-01,Call,0,0,0
CM0353,PR0033,C006,2024-03-31,Call,0,0,0
CM0354,PR0005,C003,2024-10-27,SMS,0,0,0
CM0355,PR0198,C002,2024-09-26,Call,0,0,0
CM0356,PR0095,C007,2024-10-27,Email,0,0,0
CM0357,PR0034,C003,2024-08-11,SMS,1,0,0
CM0358,PR0143,C006,2024-04-24,SMS,1,1,0
CM0359,PR0096,C005,2024-12-18,Call,0,0,0
CM0360,PR0045,C001,2024-12-25,SMS,0,0,0
CM0361,PR0145,C001,2024-04-03,SMS,1,1,1
CM0362,PR0056,C002,2024-09-11,Email,1,1,1
CM0363,PR0081,C003,2024-11-21,Email,1,1,0
CM0364,PR0067,C004,2024-05-07,SMS,1,0,0
CM0365,PR0089,C005,2024-02-25,SMS,0,0,0
CM0366,PR0012,C007,2024-08-12,SMS,0,0,0
CM0367,PR0126,C007,2024-06-28,SMS,1,1,1
CM0368,PR0122,C004,2024-03-24,Call,1,0,0
CM0369,PR0008,C005,2024-01-11,Call,0,0,0
CM0370,PR0043,C007,2024-03-23,SMS,1,1,0
CM0371,PR0140,C002,2024-06-22,SMS,0,0,0
CM0372,PR0167,C003,2024-11-06,Call,1,1,0
CM0373,PR0013,C002,2024-06-18,Email,0,0,0
CM0374,PR0104,C005,2024-12-04,Call,0,0,0
CM0375,PR0012,C007,2024-10-19,SMS,1,0,0
CM0376,PR0092,C001,2024-08-06,Email,1,0,0
CM0377,PR0122,C004,2024-02-19,Email,1,1,1
CM0378,PR0043,C005,2024-02-11,Call,0,0,0
CM0379,PR0078,C007,2024-08-29,Call,0,0,0
CM0380,PR0139,C007,2024-04-04,Call,1,0,0
CM0381,PR0114,C001,2024-05-14,Call,1,0,0
CM0382,PR0068,C001,2024-03-18,SMS,1,0,0
CM0383,PR0021,C006,2024-10-04,Call,0,0,0
CM0384,PR0141,C001,2024-07-17,SMS,0,0,0
CM0385,PR0121,C004,2024-08-31,Call,1,1,1
CM0386,PR0101,C001,2024-09-14,SMS,0,0,0
CM0387,PR0030,C008,2024-03-29,Email,0,0,0
CM0388,PR0049,C003,2024-01-22,Call,0,0,0
CM0389,PR0174,C007,2024-04-13,SMS,0,0,0
CM0390,PR0152,C005,2024-06-12,SMS,0,0,0
CM0391,PR0022,C007,2024-10-11,Call,0,0,0
CM0392,PR0003,C007,2024-02-27,Call,1,1,1
CM0393,PR0037,C002,2024-02-24,SMS,0,0,0
CM0394,PR0073,C006,2024-07-29,Call,0,0,0
CM0395,PR0121,C001,2024-03-29,Call,1,1,1
CM0396,PR0155,C007,2024-01-20,Call,1,0,0
CM0397,PR0121,C005,2024-07-09,Email,1,1,0
CM0398,PR0071,C008,2024-12-22,SMS,1,1,0
CM0399,PR0058,C003,2024-06-02,SMS,0,0,0
CM0400,PR0186,C007,2024-11-05,SMS,1,1,0
CM0401,PR0048,C008,2024-04-18,Call,0,0,0
CM0402,PR0014,C003,2024-02-03,Call,1,1,1
CM0403,PR0134,C001,2024-03-29,Email,1,0,0
CM0404,PR0014,C004,2024-01-17,Call,0,0,0
CM0405,PR0092,C004,2024-05-20,Call,0,0,0
CM0406,PR0031,C001,2024-05-03,Call,1,1,1
CM0407,PR0121,C006,2024-06-25,Email,1,1,0
CM0408,PR0072,C001,2024-07-16,Email,1,1,1
CM0409,PR0146,C004,2024-04-23,SMS,0,0,0
CM0410,PR0173,C004,2024-05-17,SMS,0,0,0
CM0411,PR0196,C001,2024-08-30,Email,1,1,1
CM0412,PR0153,C001,2024-04-24,Call,0,0,0
CM0413,PR0070,C007,2024-07-11,Call,1,1,1
CM0414,PR0119,C005,2024-12-12,SMS,1,0,0
CM0415,PR0169,C006,2024-10-14,SMS,1,1,0
CM0416,PR0027,C008,2024-02-02,Call,1,0,0
CM0417,PR0066,C005,2024-04-06,Email,1,1,1
CM0418,PR0014,C007,2024-12-04,Call,0,0,0
CM0419,PR0184,C001,2024-12-01,Call,0,0,0
CM0420,PR0107,C007,2024-07-17,SMS,1,0,0
CM0421,PR0149,C004,2024-06-24,SMS,0,0,0
CM0422,PR0175,C008,2024-12-09,Call,0,0,0
CM0423,PR0142,C003,2024-05-30,Email,1,1,1
CM0424,PR0066,C003,2024-12-14,Call,1,0,0
CM0425,PR0056,C006,2024-04-24,SMS,0,0,0
CM0426,PR0084,C006,2024-05-13,SMS,1,0,0
CM0427,PR0030,C008,2024-01-28,SMS,1,0,0
CM0428,PR0120,C004,2024-09-13,Email,0,0,0
CM0429,PR0038,C003,2024-04-12,Call,1,1,0
CM0430,PR0117,C003,2024-06-10,SMS,1,1,1
CM0431,PR0199,C002,2024-09-06,Call,0,0,0
CM0432,PR0080,C001,2024-01-03,Call,0,0,0
CM0433,PR0198,C003,2024-10-22,Email,1,0,0
CM0434,PR0033,C007,2024-11-20,Call,1,1,1
CM0435,PR0122,C007,2024-01-03,Email,1,0,0
CM0436,PR0187,C006,2024-01-08,Call,0,0,0
CM0437,PR0004,C001,2024-11-16,SMS,0,0,0
CM0438,PR0057,C006,2024-06-08,Email,0,0,0
CM0439,PR0098,C005,2024-03-26,Email,0,0,0
CM0440,PR0076,C005,2024-08-21,SMS,0,0,0
CM0441,PR0175,C003,2024-06-24,Call,1,0,0
CM0442,PR0103,C001,2024-04-26,Email,1,1,0
CM0443,PR0054,C001,2024-10-28,SMS,0,0,0
CM0444,PR0031,C006,2024-12-30,SMS,0,0,0
CM0445,PR0096,C005,2024-09-30,SMS,0,0,0
CM0446,PR0152,C001,2024-12-04,Email,0,0,0
CM0447,PR0012,C002,2024-08-01,Call,0,0,0
CM0448,PR0064,C008,2024-12-25,Email,1,0,0
CM0449,PR0177,C001,2024-06-03,Call,0,0,0
CM0450,PR0169,C005,2024-11-14,SMS,0,0,0
CM0451,PR0107,C002,2024-09-18,SMS,0,0,0
CM0452,PR0072,C002,2024-02-24,Call,0,0,0
CM0453,PR0155,C004,2024-05-14,SMS,0,0,0
CM0454,PR0091,C007,2024-05-31,Email,0,0,0
CM0455,PR0140,C008,2024-04-16,SMS,0,0,0
CM0456,PR0000,C001,2024-12-09,Email,1,0,0
CM0457,PR0146,C008,2024-03-17,Email,0,0,0
CM0458,PR0185,C002,2024-05-11,SMS,0,0,0
CM0459,PR0116,C005,2024-05-15,Call,0,0,0
CM0460,PR0025,C003,2024-01-21,Call,0,0,0
CM0461,PR0189,C002,2024-02-18,Email,1,1,0
CM0462,PR0035,C003,2024-06-17,Call,0,0,0
CM0463,PR0187,C002,2024-07-09,Call,1,1,0
CM0464,PR0029,C007,2024-07-23,Call,0,0,0
CM0465,PR0122,C007,2024-11-28,Email,1,1,1
CM0466,PR0033,C001,2024-03-22,Email,0,0,0
CM0467,PR0145,C008,2024-04-02,SMS,1,1,0
CM0468,PR0175,C003,2024-09-04,Call,1,1,1
CM0469,PR0105,C008,2024-01-24,Email,0,0,0
CM0470,PR0173,C004,2024-12-08,Call,1,1,0
CM0471,PR0110,C004,2024-09-03,Call,0,0,0
CM0472,PR0142,C001,2024-01-06,SMS,1,0,0
CM0473,PR0129,C008,2024-09-10,Email,0,0,0
